Reporter Name,Partner Name,Year,Trade Flow,No Of exported HS6 digit Products,No Of imported HS6 digit Products,Export Share in Total Products (%),Import Share in Total Products (%),Trade Balance (US$ Thousand),Export (US$ Thousand),Import (US$ Thousand),Import Partner Share (%),Export Partner Share (%),AHS Simple Average (%),AHS Weighted Average (%),AHS Total Tariff Lines,AHS Dutiable Tariff Lines Share (%),AHS Duty Free Tariff Lines Share (%),AHS Specific Tariff Lines Share (%),AHS AVE Tariff Lines Share (%),AHS MaxRate (%),AHS MinRate (%),AHS SpecificDuty Imports(US$ Thousand),AHS Dutiable Imports (US$ Thousand),AHS Duty Free Imports (US$ Thousand),MFN Simple Average (%),MFN Weighted Average (%),MFN Total Tariff Lines,MFN Dutiable Tariff Lines Share (%),MFN Duty Free Tariff Lines Share (%),MFN Specific Tariff Lines Share (%),MFN AVE Tariff Lines Share (%),MFN MaxRate (%),MFN MinRate (%),MFN SpecificDuty Imports (US$ Thousand),MFN Dutiable Imports (US$ Thousand),MFN Duty Free Imports (US$ Thousand),No Of Tariff Agreement
 World,Sweden,2022,Exports & Imports,4505,4465,97.57,95.98,,179520370.2,189177390,0.78,0.78,5.42,4.77,153418,41.41,56.64,0.25,1.71,3000,0,9251260.74,67067329.41,2887264.8,8.65,6.72,1002832,66.94,28.84,4.2,23.43,3000,0,18276099.74,69954593.77,0.45,29
 World,Eswatini,2022,Exports & Imports,3862,2135,83.65,45.89,,2057556.12,2152109.16,0.01,0.01,3.64,3.01,15904,31.89,66.7,0.26,1.15,754.3,0,33555.19,1108943.75,479612.4,9.32,14.1,524313,68.15,27.18,28.26,125.64,3000,0,1398747.3,1588556.15,0,29
 World,Saint Maarten (Dutch part),2022,Exports & Imports,2256,1108,48.86,23.82,,903655.12,104356.39,0,0,4.97,1.59,3952,24.16,73.03,0.03,2.78,100,0,1.11,7733.63,24679.71,9.7,6.56,218769,68.6,27.13,45.5,190.89,3000,0,3966.39,32413.34,0,2
 World,Seychelles,2022,Exports & Imports,3078,966,66.67,20.77,,926266.55,697177,0,0,3.67,1.87,5951,25.31,72.64,0.47,1.58,148.03,0,2758.66,850833.07,75447.02,9.16,14.38,254991,66.94,28.49,33.2,162.28,1487.24,0,853697.46,926280.09,0,22
 World,Syrian Arab Republic,2022,Exports & Imports,3145,1727,68.12,37.12,,5067044.98,766413.65,0,0.02,4.48,5.44,15320,32.15,52.68,5.35,9.83,274.5,0,46747.61,330813.75,93806.99,11.62,10.56,350831,70.46,22.74,26.4,129.42,3000,0,184502.55,424620.74,0,15
 World,Turks and Caicos Isl.,2022,Exports & Imports,2037,806,44.12,17.33,,682153.3,60713.16,0,0,8.06,3.58,2455,61.47,35.48,1.26,1.79,60,0,131.22,5808.13,5107.19,9.56,8.46,143833,68.73,28.15,51.81,130.59,1487.24,0,3863.48,10915.32,0,4
 World,Chad,2022,Exports & Imports,2207,538,47.8,11.56,,1129087.91,4775371.49,0.02,0,4.57,0.76,2546,20.66,78.24,0.24,0.86,630,0,51.49,197748.12,5833123.52,9.4,2.3,130734,67.05,28.68,50.2,169.4,1487.24,0,5943942.89,6030871.63,0,41
 World,Togo,2022,Exports & Imports,3206,2354,69.44,50.6,,19796434.52,4630400.92,0.02,0.09,0.63,2.6,9135,4.96,94.73,0.02,0.28,630,0,2363.25,2085556.29,1315800.64,10,8.08,503706,68.1,26.34,51.17,255.36,3000,0,1184218.63,3401356.93,0,50
 World,Thailand,2022,Exports & Imports,4468,4324,96.77,92.95,,260617460.9,346114678.4,1.42,1.13,4.73,6.19,280038,48.54,47.27,0.84,3.35,1068.23,0,79298876.22,346831426.3,3986425.88,8.79,8.31,1080508,67.17,28.53,2.57,14.04,3000,0,101147437.6,350817851.8,0.36,21
 World,Tajikistan,2022,Exports & Imports,3079,766,66.69,16.47,,4716219.64,2001339.13,0.01,0.02,3.16,1.34,3653,31.92,63.1,0.93,4.05,611.5,0,681.05,584662.63,1289188.33,10.15,4.71,169947,68.92,26.73,46.78,155.6,1150.91,0,1329682.6,1873850.95,0,11
 World,Tokelau,2022,Exports & Imports,505,762,10.94,16.38,,9576.32,346210.35,0,0,8.14,2.27,4711,68.31,29.31,1.27,1.1,513,0,281.71,264648.74,3080.98,10.39,15.81,198771,71.2,23.55,49.37,172.21,1355.58,0,258399.84,267729.71,0,7
 World,Turkmenistan,2022,Exports & Imports,3224,787,69.83,16.92,,4943592.11,14263499.22,0.06,0.02,4.32,0.47,4112,50.54,48.52,0.17,0.78,274.5,0,32503.8,2447000.6,10874167.02,9.74,3.31,203844,69.25,26.2,58.49,167.14,1487.24,0,11021018.07,13321167.63,0,8
 World,East Timor,2022,Exports & Imports,2607,402,56.47,8.64,,966947.03,414794.54,0,0,4.56,1.59,2193,20.34,78.8,0.18,0.68,274.5,0,254.27,327824.76,77235.29,8.24,3.65,123910,64.84,30.21,41.09,238.85,3000,0,362591.25,405060.06,0,29
 World,Tonga,2022,Exports & Imports,1957,329,42.39,7.07,,257667.11,13785.56,0,0,3.67,1.61,1447,41.12,54.94,0.9,3.04,274.5,0,98.94,4766.29,10031.16,10.81,10.74,98649,69.19,26.29,71.46,237.18,1986.83,0,8339.8,14797.45,0,13
 World,Trinidad and Tobago,2022,Exports & Imports,3445,2639,74.62,56.73,,7324225.2,19887670.43,0.08,0.03,4.14,1,19948,26.31,70.89,0.29,2.51,754.3,0,9881420.97,23575105.34,186601.42,9.38,3.61,667093,68.08,27.21,25.57,131.98,3000,0,13166562.79,23761689.77,17,13
 World,Tunisia,2022,Exports & Imports,4013,3136,86.92,67.41,,22420559.31,19769091.43,0.08,0.1,3.39,4.74,77911,30.95,64.84,1.08,3.13,754.3,0,6075985.54,28018820.62,2651204.18,9.12,9.17,766322,68.65,27.25,6.79,33.57,3000,0,13608225.3,30670024.8,0,18
