Unnamed: 0,session.x,ccode1,ccode2,agree,year,IdealPointAll.x,NVotesAll.x,IdealPointAll.y,NVotesAll.y,IdealPointDistance
261643,28,920,437,0.840909090909091,1973,0.8130661,90.0,0.2227352,89.0,0.5903309
1316508,65,835,830,0.977272727272727,2010,-1.038554,68.0,-0.4891586,68.0,0.5493954
1795413,78,781,403,0.75,2023,-0.5631235,86.0,-0.8519403,2.0,0.2888168
1768766,78,130,705,0.953947368421053,2023,-0.136706,81.0,-0.508545,80.0,0.371839
1627185,74,341,93,0.601123595505618,2019,1.049642,91.0,-1.518263,89.0,2.567905
791139,50,501,471,0.938271604938272,1995,-0.3336787,81.0,-0.4037524,81.0,0.0700737
1631241,74,380,230,0.945054945054945,2019,0.8700779,91.0,1.097392,91.0,0.2273141
1444236,69,366,255,0.95625,2014,1.040483,80.0,1.252046,80.0,0.211563
1301343,65,450,461,0.95679012345679,2010,-0.3278223,65.0,-0.4598781,65.0,0.1320558
1552050,72,316,700,0.662280701754386,2017,1.238946,89.0,-0.9535721,84.0,2.1925181
523313,40,581,385,0.649532710280374,1985,-0.1971697,110.0,1.467717,151.0,1.6648867
737980,48,712,500,0.541666666666667,1993,2.050475,37.0,-1.271423,58.0,3.321898
181902,24,220,530,0.627906976744186,1969,1.541328,43.0,-0.05228927,44.0,1.59361727
1656405,75,80,343,0.733695652173913,2020,-0.3438403,92.0,1.021134,96.0,1.3649743
1422583,68,698,435,0.983606557377049,2013,-1.226856,63.0,-0.6781103,62.0,0.5487457
1743768,77,433,840,0.946428571428571,2022,-0.513808,85.0,-0.340067,87.0,0.173741
653146,45,900,80,0.797619047619048,1990,1.021565,84.0,-0.01233552,86.0,1.03390052
1412650,68,452,666,0.25,2013,-0.6892042,46.0,2.523422,62.0,3.2126262
348861,33,325,160,0.636363636363636,1978,1.726792,127.0,0.1717698,121.0,1.5550222
1020657,57,701,565,0.954545454545455,2002,0.09079925,26.0,-0.6106642,61.0,0.70146345
1373066,67,404,517,0.956521739130435,2012,-0.4862753,59.0,-0.1684315,58.0,0.3178438
1492547,70,590,781,0.950704225352113,2015,-0.3146126,71.0,-0.671164,72.0,0.3565514
669216,46,482,60,0.988636363636364,1991,-0.07242768,64.0,-0.01525752,54.0,0.05717016
415783,36,265,355,0.996240601503759,1981,-1.990245,133.0,-1.968257,133.0,0.0219880000000001
1311029,65,694,223,0.755681818181818,2010,-1.190325,68.0,0.8212397,68.0,2.0115647
569646,42,482,452,0.914179104477612,1987,0.2836218,137.0,-0.2899011,139.0,0.5735229
62025,15,92,780,0.494117647058824,1960,0.9276286,85.0,-0.852419,103.0,1.7800476
438296,37,165,338,0.924342105263158,1982,0.4005331,157.0,-0.2205802,153.0,0.6211133
1234703,63,615,540,0.931818181818182,2008,-1.287974,74.0,-0.5776175,71.0,0.7103565
1692418,76,56,51,0.986486486486487,2021,-0.469931,74.0,-0.3588647,77.0,0.1110663
696944,47,439,750,0.936619718309859,1992,-0.6248979,72.0,-0.7456065,73.0,0.1207086
664233,46,366,570,0.725,1991,1.258073,60.0,-0.28318,73.0,1.541253
629260,44,840,165,0.960526315789474,1989,-0.109968,116.0,0.1659917,114.0,0.2759597
1322241,66,57,775,0.888157894736842,2011,-0.8053009,65.0,-1.328139,54.0,0.5228381
1768446,78,115,110,0.96551724137931,2023,-0.1891987,87.0,-0.1839844,87.0,0.0052143
1396574,68,60,20,0.416666666666667,2013,-0.5793431,36.0,1.924133,64.0,2.5034761
763237,49,590,552,0.907692307692308,1994,-0.3518206,65.0,-1.15429,68.0,0.8024694
531028,40,940,481,0.837837837837838,1985,0.7968555,74.0,-0.07284241,152.0,0.86969791
744596,49,54,375,0.733333333333333,1994,0.02135696,45.0,1.52212,68.0,1.50076304
1388084,67,760,701,0.938356164383562,2012,-0.5252564,69.0,-0.8563319,60.0,0.3310755
737565,48,705,210,0.80327868852459,1993,0.5480232,61.0,1.706348,64.0,1.1583248
232341,27,350,696,0.785714285714286,1972,0.9306983,100.0,-0.5793411,100.0,1.5100394
389184,35,95,100,0.923076923076923,1980,0.03398651,102.0,0.4099129,92.0,0.37592639
724312,48,370,572,0.859649122807018,1993,0.4628579,63.0,-0.1816662,59.0,0.6445241
190759,24,666,438,0.516129032258065,1969,0.8428806,44.0,-1.47646,31.0,2.3193406
798348,50,701,365,0.884615384615385,1995,-0.1871477,13.0,1.179862,81.0,1.3670097
412945,36,110,811,0.962365591397849,1981,-0.2486456,117.0,-0.0168295,108.0,0.2318161
411217,36,58,600,0.912162162162162,1981,0.1089236,74.0,0.1203179,134.0,0.0113943
582915,43,57,41,0.959016393442623,1988,0.2170516,131.0,-0.05753476,126.0,0.27458636
1358093,67,51,530,0.963414634146341,2012,-0.5441329,68.0,-0.4673833,65.0,0.0767496
1572301,72,712,290,0.682203389830508,2017,-0.5565464,87.0,1.107938,90.0,1.6644844
275138,29,616,663,0.916666666666667,1974,-0.06333419,73.0,0.0814896,72.0,0.14482379
105578,18,812,375,0.826086956521739,1963,-0.1466561,23.0,0.929335,31.0,1.0759911
284664,30,200,517,0.567164179104478,1975,2.075608,68.0,-0.4023665,68.0,2.4779745
1739589,77,360,40,0.517045454545455,2022,1.257668,88.0,-1.433393,88.0,2.691061
1610887,73,775,223,0.659722222222222,2018,-0.8360838,73.0,0.7561739,94.0,1.5922577
336643,32,625,461,0.978021978021978,1977,-0.2805667,91.0,-0.2802207,91.0,0.000346
1201074,62,694,471,0.850649350649351,2007,-1.039326,79.0,0.07395722,69.0,1.11328322
7320,3,165,670,0.573684210526316,1948,0.8153103,101.0,0.2459988,97.0,0.5693115
440463,37,315,305,0.651898734177215,1982,-1.898269,158.0,0.9354984,158.0,2.8337674
1080893,59,435,651,0.976744186046512,2004,-1.071558,39.0,-1.358063,70.0,0.286505
1595561,73,411,373,0.961538461538462,2018,-0.3634625,69.0,-0.7209026,90.0,0.3574401
475100,38,630,42,0.934306569343066,1983,-0.5195927,139.0,0.2678742,144.0,0.7874669
30708,10,20,645,0.666666666666667,1955,1.52129,27.0,-0.04474551,27.0,1.56603551
942229,55,372,600,0.76865671641791,2000,0.9093777,65.0,-0.5035441,61.0,1.4129218
106966,19,52,712,1.0,1964,,,,,
1646022,74,705,221,0.648351648351648,2019,-0.629874,91.0,1.017164,91.0,1.647038
1381353,67,590,663,0.929411764705882,2012,-0.5973703,67.0,-0.7143502,68.0,0.1169799
1435905,69,110,775,0.936708860759494,2014,-0.7742998,80.0,-0.9802238,79.0,0.205924
1395802,68,54,986,0.441176470588235,2013,-0.2611542,17.0,1.600346,61.0,1.8615002
783814,50,352,155,0.943037974683544,1995,-0.004979501,81.0,-0.1330225,79.0,0.128042999
1610308,73,760,212,0.712765957446808,2018,-0.525993,94.0,0.9743644,95.0,1.5003574
205487,25,625,339,1.0,1970,-1.430879,63.0,-2.229581,21.0,0.798702
1344360,66,591,56,0.991803278688525,2011,-0.2958595,37.0,-0.2487948,64.0,0.0470647
514028,40,310,220,0.463333333333333,1985,-1.518931,151.0,2.005595,151.0,3.524526
1449713,69,452,698,0.915492957746479,2014,-0.4044147,72.0,-1.350122,79.0,0.9457073
703120,47,625,516,0.872340425531915,1992,-2.018132,70.0,-0.3355908,51.0,1.6825412
166753,23,310,433,0.57843137254902,1968,-1.989142,51.0,0.09094617,51.0,2.08008817
1667539,75,371,338,0.806451612903226,2020,0.1981863,93.0,0.6573111,96.0,0.4591248
981626,56,553,663,0.875,2001,-0.2191663,20.0,-1.216284,67.0,0.9971177
1713316,76,565,432,0.973333333333333,2021,-0.5158013,76.0,-0.8001991,76.0,0.2843978
427728,36,666,800,0.470873786407767,1981,2.385912,106.0,-0.1421342,131.0,2.5280462
162720,23,42,160,0.86046511627907,1968,0.3776221,43.0,0.4934912,51.0,0.1158691
185137,24,433,452,0.769230769230769,1969,0.4200782,42.0,-0.100285,41.0,0.5203632
1373328,67,411,910,0.9375,2012,-0.4734509,8.0,0.2204504,67.0,0.6939013
112864,19,450,20,1.0,1964,,,,,
123793,20,365,434,0.848484848484849,1965,-2.321785,40.0,-0.2362412,33.0,2.0855438
1625032,74,232,816,0.707865168539326,2019,0.7686413,91.0,-0.8005836,89.0,1.5692249
93160,17,840,350,0.695652173913043,1962,0.369862,46.0,1.283468,46.0,0.913606
41701,12,70,770,0.691176470588235,1957,-0.05351011,34.0,0.5493999,34.0,0.60291001
1379464,67,551,816,0.952380952380952,2012,-0.3320096,68.0,-1.139175,68.0,0.8071654
1102980,60,60,970,1.0,2005,-0.3206379,9.0,1.442612,8.0,1.7632499
907195,54,290,710,0.640449438202247,1999,1.166681,68.0,-0.6554809,68.0,1.8221619
669493,46,483,694,1.0,1991,-0.6906996,73.0,-0.8127799,75.0,0.1220803
1778960,78,395,200,0.86046511627907,2023,1.006261,87.0,2.057023,86.0,1.050762
