Year,Actor1CountryCode,Actor2CountryCode,AvgTone_Avg
2021,ARE,DEU,1.7187429362224087
2023,USA,PHL,-0.3557736242616064
2011,SGP,PHL,6.071765418319219
2019,SGP,CHN,0.7360303733732644
2015,USA,DEU,-0.8736342132333934
2022,SGP,VNM,1.9149134417371745
2012,CHE,CHN,6.555582779625314
2021,KOR,FRA,-0.3965003097308756
2013,IDN,IND,2.936958322390373
2010,IDN,SGP,5.11219599793303
2020,ARE,NLD,-0.4669686457489882
2006,THA,ARE,5.9655808198371165
2012,USA,IND,5.430949721772778
2022,SGP,AUS,1.003925750072835
2022,IDN,JPN,0.2565775209621525
2012,CHE,DEU,5.086973470880821
2021,USA,IDN,-1.7661845719672316
2006,AUS,DEU,5.5028832086538335
2017,IND,FRA,0.3988813350466258
2021,FRA,IND,-0.2483599967157595
2016,THA,IND,-0.2408300846493926
2007,KOR,SGP,6.098675411794689
2023,IND,JPN,1.5184585014678085
2006,CHE,IND,6.075661286815635
2022,CHE,VNM,2.1864219901156674
2015,DEU,USA,-0.9020855069757316
2009,KOR,ARE,5.623417888016789
2009,NLD,PHL,5.15465048360061
2014,IND,SGP,2.630048324457138
2009,HKG,PHL,10.7416879795396
2012,IND,CHN,4.83149181457179
2011,FRA,VNM,6.660039833298862
2011,ARE,VNM,5.389761895201061
2024,KOR,PHL,1.661000083829964
2013,PHL,VNM,2.4791829259927987
2011,SGP,IND,6.443718091432537
2015,SGP,NLD,1.5117738866188206
2017,HKG,AUS,2.4211123381725828
2019,CHE,JPN,-0.7364995861163176
2006,FRA,KOR,4.88292875229811
2024,ARE,AUS,2.530395497589749
2012,VNM,IDN,5.727702239693709
2011,ARE,CHN,6.436156713659794
2018,AUS,VNM,0.8980619890853756
2008,KOR,SGP,4.821779553179385
2010,DEU,FRA,5.463450248748431
2013,VNM,KOR,2.8864584294236884
2016,IND,CHN,-1.3110765075362365
2006,JPN,THA,5.6422094551921385
2010,FRA,THA,4.6771281027074165
2012,AUS,KOR,5.789808822177735
2008,NLD,DEU,4.70995386843085
2017,AUS,USA,-1.308117793401707
2023,JPN,FRA,-0.1856301064792409
2010,THA,MYS,5.200528801324313
2017,IND,AUS,-0.0141894170903132
2014,HKG,THA,1.40280561122244
2007,PHL,IDN,6.131498587838661
2022,VNM,NLD,1.9500997712869068
2012,CHN,USA,5.543432582476339
2014,VNM,FRA,3.1713939730897054
2012,AUS,JPN,5.157920233698262
2012,CHN,IDN,5.649046990959356
2020,KOR,THA,-1.2386669468607805
2008,NLD,CHN,4.904630477326842
2015,HKG,NLD,4.872563718140929
2017,AUS,HKG,5.053142436141266
2015,DEU,IDN,-0.4254644616105926
2020,MYS,SGP,-0.4749562642919307
2008,THA,VNM,5.255438607598532
2017,VNM,AUS,0.3654533563352788
2016,CHN,AUS,-0.4625971844368802
2023,KOR,MYS,2.186517481136662
2014,AUS,KOR,3.195569432970925
2024,JPN,MYS,1.0976652442166586
2006,IDN,CHE,5.31273769820373
2017,PHL,CHE,-1.922316379549644
2016,ARE,FRA,0.5910599449322471
2022,USA,HKG,1.4531437191991876
2014,FRA,VNM,2.8476925867589262
2012,SGP,JPN,5.513828302489741
2008,THA,CHE,6.499524657981466
2024,THA,IND,1.4917374656292983
