Reporter Name,Partner Name,Year,Trade Flow,No Of exported HS6 digit Products,No Of imported HS6 digit Products,Export Share in Total Products (%),Import Share in Total Products (%),Trade Balance (US$ Thousand),Export (US$ Thousand),Import (US$ Thousand),Import Partner Share (%),Export Partner Share (%),AHS Simple Average (%),AHS Weighted Average (%),AHS Total Tariff Lines,AHS Dutiable Tariff Lines Share (%),AHS Duty Free Tariff Lines Share (%),AHS Specific Tariff Lines Share (%),AHS AVE Tariff Lines Share (%),AHS MaxRate (%),AHS MinRate (%),AHS SpecificDuty Imports(US$ Thousand),AHS Dutiable Imports (US$ Thousand),AHS Duty Free Imports (US$ Thousand),MFN Simple Average (%),MFN Weighted Average (%),MFN Total Tariff Lines,MFN Dutiable Tariff Lines Share (%),MFN Duty Free Tariff Lines Share (%),MFN Specific Tariff Lines Share (%),MFN AVE Tariff Lines Share (%),MFN MaxRate (%),MFN MinRate (%),MFN SpecificDuty Imports (US$ Thousand),MFN Dutiable Imports (US$ Thousand),MFN Duty Free Imports (US$ Thousand),No Of Tariff Agreement
 World,"Congo, Rep.",2020,Exports & Imports,3150.0,1355,68.26,29.18,,3038950.63,7289705.07,0.04,0.02,7.41,0.71,8784,37.09,56.67,1.58,4.66,100.0,0,57.27,7594557.03,149027.33,8.38,3.12,389264,69.08,24.97,30.67,232.8,1598.29,0,4153886.55,7743584.35,0.0,18.0
 World,Cook Islands,2020,Exports & Imports,2121.0,275,45.96,5.92,,101741.29,28578.7,0.0,0.0,3.2,3.63,1658,29.79,68.94,0.0,1.27,101.49,0,0.0,18436.77,7805.72,8.91,9.97,118343,72.37,23.74,78.05,199.46,1167.01,0,19674.48,26242.49,0.0,20.0
 World,Colombia,2020,Exports & Imports,4230.0,3556,91.66,76.59,,41626482.24,34829169.94,0.2,0.24,2.47,4.46,102412,19.79,76.32,0.43,3.47,1331.46,0,993157.49,37403874.3,1088187.34,8.76,7.95,1189056,70.05,23.92,9.58,60.47,3000.0,0,20943312.56,38492061.64,0.0,71.0
 World,Comoros,2020,Exports & Imports,1946.0,372,42.17,8.01,,284235.28,63062.37,0.0,0.0,3.12,1.36,2125,17.6,81.98,0.0,0.42,274.5,0,0.0,56256.15,32859.79,9.37,9.18,139568,72.77,23.08,114.87,158.31,1167.01,0,28699.18,89115.93,0.0,43.0
 World,Cape Verde,2020,Exports & Imports,2991.0,643,64.81,13.85,,815377.44,97238.29,0.0,0.0,2.1,0.61,6024,6.69,88.73,1.61,2.97,55.83,0,1871.86,22321.0,153684.03,8.58,14.09,243573,71.16,25.3,31.66,111.34,3000.0,0,18319.92,176005.03,0.0,34.0
 World,Costa Rica,2020,Exports & Imports,3874.0,2898,83.94,62.42,,13485103.04,16421301.14,0.09,0.08,2.5,4.98,60042,20.52,74.91,0.4,4.17,1331.46,0,606922.87,18763383.28,605091.18,8.89,10.19,1035452,69.39,23.94,15.18,99.7,3000.0,0,6167598.48,19368474.46,0.0,36.0
 World,Cuba,2020,Exports & Imports,3162.0,720,68.52,15.51,,3980068.49,1713059.83,0.01,0.02,7.0,25.65,8046,54.93,29.11,5.57,10.39,1331.46,0,800808.08,1476969.28,157058.13,10.12,21.57,292477,67.32,23.5,55.2,278.31,3000.0,0,1168141.54,1634027.41,0.0,62.0
 World,Curaçao,2020,Exports & Imports,2819.0,1755,61.08,37.8,,998906.85,183679.61,0.0,0.01,10.35,6.85,10297,73.23,19.55,1.75,5.48,150.0,0,2998.53,269740.51,31198.39,10.02,7.66,501396,69.47,22.57,67.64,319.71,3000.0,0,59239.79,300938.9,0.0,
 World,Christmas Island,2020,Exports & Imports,646.0,262,14.0,5.64,,24500.64,15671.74,0.0,0.0,5.05,0.6,2143,68.08,31.08,0.56,0.28,45.0,0,8.18,2329.71,15028.19,8.04,3.47,111141,73.03,23.71,46.48,122.17,1167.01,0,5692.86,17357.89,0.0,5.0
 World,Cayman Islands,2020,Exports & Imports,2522.0,670,54.65,14.43,,3992654.87,1988846.94,0.01,0.02,7.6,0.31,5214,23.49,71.14,0.1,5.27,727.9,0,5.24,684889.73,2927006.25,8.8,8.48,288954,69.34,24.57,52.55,284.85,3000.0,0,3526262.78,3611895.98,0.0,12.0
 World,Cyprus,2020,Exports & Imports,4263.0,3482,92.37,74.99,,10705140.51,3100215.7,0.02,0.06,5.89,7.92,19461,46.34,50.02,0.31,3.32,1331.46,0,16758.3,1224523.99,129590.01,9.96,9.02,639307,69.36,22.31,35.26,238.29,3000.0,0,219922.57,1354114.0,0.0,53.0
 World,Czech Republic,2020,Exports & Imports,4491.0,4489,97.31,96.68,,152376094.6,164230005.9,0.95,0.89,4.56,4.41,149091,44.04,53.54,0.38,2.04,1366.74,0,4523283.92,30816147.66,738496.88,8.29,7.02,1252260,69.77,24.91,6.03,38.68,3000.0,0,9697924.94,31554644.54,0.0,53.0
 World,Germany,2020,Exports & Imports,4564.0,4599,98.89,99.05,,1092226279.0,1293053056.0,7.45,6.35,6.12,5.86,418152,49.44,48.12,0.4,2.04,3000.0,0,92765389.85,475591429.0,1829357.12,8.52,7.02,1515550,69.21,24.9,2.82,18.53,3000.0,0,138231177.4,477420786.1,0.0,52.0
 World,Djibouti,2020,Exports & Imports,3196.0,643,69.25,13.85,,5491469.46,251463.34,0.0,0.03,7.15,6.82,4423,13.23,86.77,0.0,0.0,100.0,0,0.0,85330.61,22591.54,9.24,7.09,235818,71.19,24.45,40.09,192.34,3000.0,0,13772.11,107922.15,0.0,38.0
 World,Dominica,2020,Exports & Imports,1964.0,800,42.56,17.23,,257107.83,45188.03,0.0,0.0,2.59,5.77,5467,18.99,80.5,0.13,0.38,754.3,0,576.09,19147.5,18673.21,10.21,8.2,275706,68.62,23.46,61.73,337.41,3000.0,0,5609.3,37820.71,0.0,34.0
 World,Denmark,2020,Exports & Imports,4459.0,4442,96.62,95.67,,93749114.93,99616402.94,0.57,0.55,5.76,7.45,149620,46.94,50.41,0.41,2.25,2380.38,0,5175723.84,37407582.61,349767.94,8.71,8.17,1346113,69.61,24.37,7.37,46.78,3000.0,0,7435880.41,37757350.55,0.0,52.0
 World,Dominican Republic,2020,Exports & Imports,3926.0,2387,85.07,51.41,,16452685.6,10082207.88,0.06,0.1,3.12,4.21,45665,24.47,72.72,0.09,2.72,1331.46,0,1106583.61,10361656.72,213248.37,9.48,12.05,840413,69.67,23.25,15.98,114.35,3000.0,0,4138021.27,10574905.09,0.0,25.0
 World,Algeria,2020,Exports & Imports,3866.0,1624,83.77,34.98,,34603843.65,22125974.09,0.13,0.2,4.65,1.02,20055,19.08,68.96,2.43,9.53,831.86,0,219714.12,24277853.88,8172358.09,9.75,3.42,583415,69.62,22.07,31.08,210.6,3000.0,0,12443956.46,32450211.97,0.0,34.0
 World,East Asia & Pacific,2020,Exports & Imports,,4625,,99.61,,4803684793.0,5954649001.0,34.31,27.95,5.4,4.12,4235262,46.52,49.67,0.7,3.11,3000.0,0,1168033033.0,6375830241.0,501122.1,8.64,6.66,1536359,69.22,24.93,0.28,1.84,3000.0,0,1796348412.0,6376331363.0,0.0,959.0
 World,Europe & Central Asia,2020,Exports & Imports,,4630,,99.72,,6426457371.0,6450753716.0,37.17,37.39,5.12,4.37,6715170,41.35,54.68,0.55,3.41,3000.0,0,637526005.2,3248184464.0,47637.91,8.67,7.33,1536254,69.22,24.93,0.18,1.16,3000.0,0,1156203515.0,3248232101.0,0.77,1932.0
 World,Ecuador,2020,Exports & Imports,3960.0,2380,85.81,51.26,,16039002.76,22362539.35,0.13,0.09,3.73,4.41,53495,22.44,71.21,0.4,5.95,1331.46,0,419565.66,25581043.95,1187548.52,9.63,11.1,888079,70.74,22.28,14.54,101.31,3000.0,0,9922158.76,26768592.46,0.0,70.0
 World,"Egypt, Arab Rep.",2020,Exports & Imports,4218.0,3480,91.4,74.95,,70544687.82,29213408.53,0.17,0.41,2.44,3.04,119792,19.16,76.67,0.33,3.84,1331.46,0,3071390.27,28162102.06,4005987.62,9.1,8.48,1167636,70.15,23.54,7.98,53.46,3000.0,0,13663655.62,32168089.68,0.0,48.0
 World,Eritrea,2020,Exports & Imports,1618.0,323,35.06,6.96,,309784.78,647455.78,0.0,0.0,1.51,0.02,2187,7.64,91.68,0.0,0.69,45.0,0,0.0,4465.57,525871.62,8.58,4.01,122592,65.12,26.54,54.69,413.12,3000.0,0,527189.17,530337.19,0.0,38.0
 World,Western Sahara,2020,Exports & Imports,95.0,66,2.06,1.42,,9022.63,7562.58,0.0,0.0,1.75,0.22,478,10.46,89.54,0.0,0.0,20.0,0,0.0,289.49,7169.03,7.11,3.64,20991,73.47,22.59,104.39,68.41,804.03,0,37.48,7458.51,0.0,4.0
