year,country_a,country_b,un_dist,sector,value_export,value_import,D
2007,ARE,VNM,1.1703389457546296,bec_7,943279.7045167056,1094911.8729912315,0.5341902805646125
2007,ARE,VNM,1.1703389457546296,bec_8,11149596.022137972,40416440.25980388,0.5341902805646125
2008,ARE,VNM,1.1703389457546296,bec_1,34145715.16769384,91381331.29955092,0.6070572329530364
2008,ARE,VNM,1.1703389457546296,bec_2,13721784.265687192,28516122.98174492,0.6070572329530364
2008,ARE,VNM,1.1703389457546296,bec_3,11183152.870598176,43196183.44097648,0.6070572329530364
2008,ARE,VNM,1.1703389457546296,bec_4,29979199.420917746,55676155.10104233,0.6070572329530364
2008,ARE,VNM,1.1703389457546296,bec_5,27550452.211507704,69989702.73155266,0.6070572329530364
2008,ARE,VNM,1.1703389457546296,bec_6,5563317.320776871,55459034.36811519,0.6070572329530364
2008,ARE,VNM,1.1703389457546296,bec_7,985067.7122213454,1421549.1514385308,0.6070572329530364
2008,ARE,VNM,1.1703389457546296,bec_8,6773199.030597119,26263920.92557895,0.6070572329530364
2009,ARE,VNM,1.1703389457546296,bec_1,0.0,130770730.3869424,0.4953977029934754
2009,ARE,VNM,1.1703389457546296,bec_2,0.0,46629143.278012894,0.4953977029934754
2009,ARE,VNM,1.1703389457546296,bec_3,0.0,29313404.2958928,0.4953977029934754
2009,ARE,VNM,1.1703389457546296,bec_4,0.0,55169295.5000792,0.4953977029934754
2009,ARE,VNM,1.1703389457546296,bec_5,0.0,17089452.41940749,0.4953977029934754
2009,ARE,VNM,1.1703389457546296,bec_6,0.0,55179493.21819402,0.4953977029934754
2009,ARE,VNM,1.1703389457546296,bec_7,0.0,1933292.5428805505,0.4953977029934754
2009,ARE,VNM,1.1703389457546296,bec_8,138183968.0,42020180.35859069,0.4953977029934754
2010,ARE,VNM,1.1703389457546296,bec_1,0.0,116164805.07902128,0.5031579572690539
2010,ARE,VNM,1.1703389457546296,bec_2,0.0,91616742.9335946,0.5031579572690539
2010,ARE,VNM,1.1703389457546296,bec_3,0.0,51606651.826929785,0.5031579572690539
2010,ARE,VNM,1.1703389457546296,bec_4,0.0,63286184.52978378,0.5031579572690539
2010,ARE,VNM,1.1703389457546296,bec_5,0.0,26336780.661532573,0.5031579572690539
2010,ARE,VNM,1.1703389457546296,bec_6,0.0,73795468.08215454,0.5031579572690539
2010,ARE,VNM,1.1703389457546296,bec_7,0.0,2067156.603706486,0.5031579572690539
2010,ARE,VNM,1.1703389457546296,bec_8,217011104.0,98659426.28327692,0.5031579572690539
2011,ARE,VNM,1.1703389457546296,bec_1,0.0,145275763.27454,0.6014996826175598
2011,ARE,VNM,1.1703389457546296,bec_2,0.0,182969991.8267792,0.6014996826175598
2011,ARE,VNM,1.1703389457546296,bec_3,0.0,78943764.9536699,0.6014996826175598
2011,ARE,VNM,1.1703389457546296,bec_4,0.0,80395885.14241876,0.6014996826175598
2011,ARE,VNM,1.1703389457546296,bec_5,0.0,37168062.22403218,0.6014996826175598
2011,ARE,VNM,1.1703389457546296,bec_6,0.0,107782673.97865903,0.6014996826175598
2011,ARE,VNM,1.1703389457546296,bec_7,0.0,4168311.305943024,0.6014996826175598
2011,ARE,VNM,1.1703389457546296,bec_8,362811328.0,285275579.29395795,0.6014996826175598
2012,ARE,VNM,1.1703389457546296,bec_1,32080380.277099386,214529151.0370029,0.5805366880634931
2012,ARE,VNM,1.1703389457546296,bec_2,2537656.9003427043,148721378.63803402,0.5805366880634931
2012,ARE,VNM,1.1703389457546296,bec_3,8787117.421639375,85990368.59713155,0.5805366880634931
2012,ARE,VNM,1.1703389457546296,bec_4,19496153.049633075,127929274.90773638,0.5805366880634931
2012,ARE,VNM,1.1703389457546296,bec_5,4008393.508275937,27786927.614284888,0.5805366880634931
2012,ARE,VNM,1.1703389457546296,bec_6,16646680.87644066,137882878.15892014,0.5805366880634931
2012,ARE,VNM,1.1703389457546296,bec_7,1188203.2480439309,8277032.151260967,0.5805366880634931
2012,ARE,VNM,1.1703389457546296,bec_8,196153782.7185249,1285685164.8956292,0.5805366880634931
2013,ARE,VNM,1.1703389457546296,bec_1,87230212.04352851,235656327.3179925,0.7251082575998572
2013,ARE,VNM,1.1703389457546296,bec_2,5052721.054193522,151178940.76986864,0.7251082575998572
2013,ARE,VNM,1.1703389457546296,bec_3,19202557.82115187,97819687.4470824,0.7251082575998572
2013,ARE,VNM,1.1703389457546296,bec_4,36987278.18650578,180394793.1133948,0.7251082575998572
2013,ARE,VNM,1.1703389457546296,bec_5,9497614.372902088,47019964.48796798,0.7251082575998572
2013,ARE,VNM,1.1703389457546296,bec_6,12440619.108674422,206471371.6289117,0.7251082575998572
2013,ARE,VNM,1.1703389457546296,bec_7,2050079.110786832,6128345.743935097,0.7251082575998572
2013,ARE,VNM,1.1703389457546296,bec_8,126060998.30225694,3090141193.490847,0.7251082575998572
2014,ARE,VNM,1.1703389457546296,bec_1,78308575.70659804,251908495.6097262,0.6051218040755503
2014,ARE,VNM,1.1703389457546296,bec_2,7431204.772627321,266448830.15285936,0.6051218040755503
2014,ARE,VNM,1.1703389457546296,bec_3,33364137.06272265,116801203.93983102,0.6051218040755503
2014,ARE,VNM,1.1703389457546296,bec_4,48483242.08742167,228622014.86007056,0.6051218040755503
2014,ARE,VNM,1.1703389457546296,bec_5,14165231.759178936,82472912.7323404,0.6051218040755503
2014,ARE,VNM,1.1703389457546296,bec_6,18704360.805025693,269887307.9241053,0.6051218040755503
2014,ARE,VNM,1.1703389457546296,bec_7,2776097.471087652,11768746.087983036,0.6051218040755503
2014,ARE,VNM,1.1703389457546296,bec_8,212215566.33533803,3168400504.693084,0.6051218040755503
2015,ARE,VNM,1.1703389457546296,bec_1,73897751.19360012,295047780.66167426,0.8498861061549973
2015,ARE,VNM,1.1703389457546296,bec_2,8060232.250121252,292743074.1060568,0.8498861061549973
2015,ARE,VNM,1.1703389457546296,bec_3,37838674.53376056,142590742.3300046,0.8498861061549973
2015,ARE,VNM,1.1703389457546296,bec_4,51526445.66712341,269795039.03207,0.8498861061549973
2015,ARE,VNM,1.1703389457546296,bec_5,15413738.032011362,98027382.14524992,0.8498861061549973
2015,ARE,VNM,1.1703389457546296,bec_6,17131989.24873301,370923544.4186953,0.8498861061549973
2015,ARE,VNM,1.1703389457546296,bec_7,2840405.546995845,14331949.74108697,0.8498861061549973
2015,ARE,VNM,1.1703389457546296,bec_8,260715883.52765447,3922910791.5651617,0.8498861061549973
2016,ARE,VNM,1.1703389457546296,bec_1,60916838.64618517,306679993.9889084,0.735189049665679
2016,ARE,VNM,1.1703389457546296,bec_2,11275680.004949534,218000891.9394711,0.735189049665679
2016,ARE,VNM,1.1703389457546296,bec_3,17925464.277339023,138990318.79155388,0.735189049665679
2016,ARE,VNM,1.1703389457546296,bec_4,33009435.419861555,270220926.93825424,0.735189049665679
2016,ARE,VNM,1.1703389457546296,bec_5,19695247.644836284,141928392.94603875,0.735189049665679
2016,ARE,VNM,1.1703389457546296,bec_6,15110954.996888578,258932411.61445323,0.735189049665679
2016,ARE,VNM,1.1703389457546296,bec_7,2209661.665810454,33825706.98529672,0.735189049665679
2016,ARE,VNM,1.1703389457546296,bec_8,239240493.34412944,3331000748.796024,0.735189049665679
2017,ARE,VNM,1.1703389457546296,bec_1,27021792.969442885,280304931.1318632,0.7591837296854708
2017,ARE,VNM,1.1703389457546296,bec_2,7067163.145812097,333953455.9628023,0.7591837296854708
2017,ARE,VNM,1.1703389457546296,bec_3,15309159.4559446,183474547.9205562,0.7591837296854708
2017,ARE,VNM,1.1703389457546296,bec_4,32398429.47960859,207264319.10629737,0.7591837296854708
2017,ARE,VNM,1.1703389457546296,bec_5,13708678.64057356,80067373.00993356,0.7591837296854708
2017,ARE,VNM,1.1703389457546296,bec_6,41258081.69602484,284004839.1610059,0.7591837296854708
2017,ARE,VNM,1.1703389457546296,bec_7,2606202.640318466,19984178.28587776,0.7591837296854708
2017,ARE,VNM,1.1703389457546296,bec_8,355203547.97227496,3235701555.421664,0.7591837296854708
2018,ARE,VNM,1.1703389457546296,bec_1,35632331.464201055,249963199.51045617,0.7687733561121561
2018,ARE,VNM,1.1703389457546296,bec_2,13073969.691069571,343845908.0863211,0.7687733561121561
2018,ARE,VNM,1.1703389457546296,bec_3,16692968.092620084,174750783.79347652,0.7687733561121561
2018,ARE,VNM,1.1703389457546296,bec_4,27389757.08335977,184107893.63155973,0.7687733561121561
2018,ARE,VNM,1.1703389457546296,bec_5,9672213.59303346,92373553.05325752,0.7687733561121561
2018,ARE,VNM,1.1703389457546296,bec_6,42015684.61463886,399329399.12040496,0.7687733561121561
2018,ARE,VNM,1.1703389457546296,bec_7,2772327.059045189,18644709.010447823,0.7687733561121561
2018,ARE,VNM,1.1703389457546296,bec_8,250529020.402032,3242287593.794076,0.7687733561121561
2019,ARE,VNM,1.1703389457546296,bec_1,25301632.94800433,197761537.0657816,0.7933832359987386
2019,ARE,VNM,1.1703389457546296,bec_2,13027324.012528384,323692911.9848571,0.7933832359987386
2019,ARE,VNM,1.1703389457546296,bec_3,15879798.698810477,175929147.5944323,0.7933832359987386
2019,ARE,VNM,1.1703389457546296,bec_4,25117651.408977475,219552066.36899167,0.7933832359987386
2019,ARE,VNM,1.1703389457546296,bec_5,6508755.108862925,98255937.13308392,0.7933832359987386
2019,ARE,VNM,1.1703389457546296,bec_6,44202321.09720518,387574625.514157,0.7933832359987386
2019,ARE,VNM,1.1703389457546296,bec_7,2388441.170336572,17507693.94094158,0.7933832359987386
2019,ARE,VNM,1.1703389457546296,bec_8,196054075.55527467,2790253312.3977547,0.7933832359987386
2020,ARE,VNM,1.1703389457546296,bec_1,23968422.312490374,191300732.352154,0.7931241753055616
2020,ARE,VNM,1.1703389457546296,bec_2,17512558.552891072,351916813.04326063,0.7931241753055616
2020,ARE,VNM,1.1703389457546296,bec_3,21208516.85200881,133954188.71959664,0.7931241753055616
2020,ARE,VNM,1.1703389457546296,bec_4,24590968.57075325,151896151.08781704,0.7931241753055616
2020,ARE,VNM,1.1703389457546296,bec_5,7040981.26583578,82199149.42474121,0.7931241753055616
2020,ARE,VNM,1.1703389457546296,bec_6,64634461.46430438,480651922.963097,0.7931241753055616
2020,ARE,VNM,1.1703389457546296,bec_7,3598832.887258572,18874679.18828141,0.7931241753055616
2020,ARE,VNM,1.1703389457546296,bec_8,180475626.0944577,1998917723.221052,0.7931241753055616
2021,ARE,VNM,1.1703389457546296,bec_1,25569143.47485899,221026259.59025764,0.8532712724640493
2021,ARE,VNM,1.1703389457546296,bec_2,19696033.56091108,417943294.03049815,0.8532712724640493
2021,ARE,VNM,1.1703389457546296,bec_3,28047606.184382714,160937034.45665523,0.8532712724640493
2021,ARE,VNM,1.1703389457546296,bec_4,32057624.40637332,195596523.7196633,0.8532712724640493
2021,ARE,VNM,1.1703389457546296,bec_5,12903210.704713024,77119397.45245302,0.8532712724640493
2021,ARE,VNM,1.1703389457546296,bec_6,72459875.33644867,413805249.40291536,0.8532712724640493
2021,ARE,VNM,1.1703389457546296,bec_7,4324033.931643235,17471025.538056064,0.8532712724640493
