YEAR,COUNTRY,EXPORT_USD,IMPORT_USD,EXPORT_SHARE,IMPORT_SHARE,EXPORT_PRODUCTS,IMPORT_PRODUCTS
2021,Norfolk Island,35976510.0,2313650.0,0.0,0.0,812.0,187
2021,Nigeria,58148162040.0,53865943130.0,0.27,0.25,4071.0,3302
2021,Nicaragua,7331999690.0,7791671830.0,0.03,0.04,3359.0,1979
2021,Niue,38144380.0,6306080.0,0.0,0.0,1050.0,226
2021,Netherlands,702085660200.0,592695172400.0,3.24,2.7,4550.0,4576
2021,Norway,89923932110.0,145044191400.0,0.41,0.66,4444.0,4042
2021,Nepal,13150285930.0,1653725010.0,0.06,0.01,4053.0,1584
2021,Nauru,109218800.0,211627670.0,0.0,0.0,1354.0,476
2021,New Zealand,43434004900.0,46576036540.0,0.2,0.21,4301.0,3815
2021,"Other Asia, nes",353374894900.0,684121146500.0,1.63,3.11,4425.0,4350
2021,Oman,30928649550.0,60905116110.0,0.14,0.28,4171.0,2646
2021,Pakistan,67673935349.99999,30086947040.0,0.31,0.14,4172.0,3523
2021,Panama,45667295550.0,7502624850.0,0.21,0.03,3904.0,3208
2021,Pitcairn,4179970.0000000005,6661930.0,0.0,0.0,127.0,225
2021,Peru,46504711410.0,65129360550.0,0.21,0.3,4121.0,3416
2021,Philippines,151436127900.0,108780782900.0,0.7,0.5,4332.0,3457
2021,Palau,125351640.0,5688550.0,0.0,0.0,1356.0,112
2021,Papua New Guinea,4263491160.0,11976614310.0,0.02,0.05,3244.0,898
2021,Poland,346636347000.0,296734170700.0,1.6,1.35,4513.0,4532
2021,"Korea, Dem. Rep.",653470410.0,256687460.0,0.0,0.0,641.0,1345
2021,Portugal,94002771590.0,74095457190.0,0.43,0.34,4493.0,4489
2021,Paraguay,10898758320.0,10947610610.0,0.05,0.05,3654.0,1431
2021,Occ.Pal.Terr,1538339770.0,184129480.0,0.01,0.0,2109.0,446
2021,French Polynesia,1620477750.0,177485830.0,0.01,0.0,3084.0,793
2021,Qatar,30900476610.0,83506230840.0,0.14,0.38,4146.0,3041
2021,Romania,108689997200.0,87878675380.0,0.5,0.4,4491.0,4354
2021,Russian Federation,265518732900.0,497512260500.0,1.22,2.26,4484.0,4477
2021,Rwanda,2140106700.0000002,778740930.0,0.01,0.0,3143.0,1170
2021,South Asia,647441821300.0,479243560300.0,2.99,2.18,0.0,4569
2021,Saudi Arabia,146086205800.0,255974967800.0,0.67,1.17,4382.0,3636
2021,Senegal,14400383810.0,3684286540.0,0.07,0.02,3742.0,2165
2021,"Serbia, FR(Serbia/Montenegro)",32469089320.0,26135491330.0,0.15,0.12,4305.0,3788
2021,Singapore,336236886100.0,297509292600.0,1.55,1.35,4446.0,4309
2021,South Georgia and the South Sa,365160.0,477050.0,0.0,0.0,99.0,75
2021,Saint Helena,51735950.0,38945520.0,0.0,0.0,1248.0,316
2021,Solomon Islands,482871080.0,535936360.0,0.0,0.0,2089.0,436
2021,Sierra Leone,1643343010.0,978306210.0,0.01,0.0,2801.0,1410
2021,El Salvador,12214872270.0,6504082280.0,0.06,0.03,3696.0,2781
2021,San Marino,449084710.0,227844520.0,0.0,0.0,1485.0,1114
2021,Somalia,5142920610.0,515134460.0,0.02,0.0,2922.0,692
2021,Special Categories,49794816770.0,85094296490.0,0.23,0.39,2059.0,2230
2021,Saint Pierre and Miquelon,74523440.0,9355980.0,0.0,0.0,1744.0,152
2021,South Sudan,1381901250.0,575789630.0,0.01,0.0,2497.0,395
2021,Sub-Saharan Africa,426391368900.0,437971841700.0,1.97,1.99,0.0,4572
2021,Sao Tome and Principe,132787690.0,29185790.0,0.0,0.0,2134.0,382
2021,Sudan,9016228170.0,5651090990.0,0.04,0.03,3366.0,1405
2021,Suriname,1443039990.0,2284813910.0,0.01,0.01,2811.0,1133
2021,Slovak Republic,93687178070.0,101430102700.0,0.43,0.46,4429.0,4373
2021,Slovenia,54775119070.0,42765466660.0,0.25,0.19,4415.0,4359
2021,Sweden,167919752500.0,179088175500.0,0.77,0.82,4497.0,4466
2021,Eswatini,1797111150.0,2404685340.0,0.01,0.01,3848.0,2172
2021,Saint Maarten (Dutch part),554324050.0,75238050.0,0.0,0.0,2236.0,1047
2021,Seychelles,741120790.0,710615870.0,0.0,0.0,2977.0,1040
2021,Syrian Arab Republic,5389045950.0,1112161320.0,0.02,0.01,3176.0,1956
2021,Turks and Caicos Isl.,464136660.0,50224320.0,0.0,0.0,1836.0,690
2021,Chad,1264719430.0,2987431200.0,0.01,0.01,2247.0,634
2021,Togo,13678712910.0,3784592600.0,0.06,0.02,3169.0,1933
2021,Thailand,238541127700.0,321002191600.0,1.1,1.46,4450.0,4367
2021,Tajikistan,4766184010.0,1550388010.0,0.02,0.01,3191.0,778
2021,Tokelau,9506850.0,25592170.0,0.0,0.0,352.0,773
2021,Turkmenistan,4496381210.0,9481590700.0,0.02,0.04,3317.0,762
2021,East Timor,813032900.0,333509560.0,0.0,0.0,2458.0,435
2021,Tonga,233989170.0,16171190.0,0.0,0.0,2052.0,442
2021,Trinidad and Tobago,5689958870.0,11739808030.0,0.03,0.05,3362.0,2556
2021,Tunisia,21216559660.0,17370071410.0,0.1,0.08,4029.0,3121
2021,Turkey,241193839800.0,217889311400.0,1.11,0.99,4472.0,4464
2021,Tuvalu,168948810.0,128773110.0,0.0,0.0,1213.0,198
2021,Tanzania,17388159500.0,8267985870.0,0.08,0.04,3812.0,2783
2021,Uganda,5662719510.0,3705630760.0,0.03,0.02,3575.0,2025
2021,Ukraine,65574707540.0,73038897560.0,0.3,0.33,4398.0,3898
2021,United States Minor Outlying I,61976270.0,17211940.0,0.0,0.0,570.0,795
2021,Unspecified,678602113500.0,200166501500.0,3.13,0.91,3858.0,4462
2021,Uruguay,12989036750.0,12071700640.0,0.06,0.05,3839.0,2156
2021,United States,2821559294000.0,1707605932000.0,13.01,7.77,4571.0,4630
2021,Uzbekistan,22332637860.0,13309350970.0,0.1,0.06,3978.0,2321
2021,Holy See,84530100.0,13339330.0,0.0,0.0,281.0,621
2021,St. Vincent and the Grenadines,442208720.0,188409810.0,0.0,0.0,2174.0,677
2021,Venezuela,7749966020.0,4864712810.0,0.04,0.02,3409.0,1546
2021,British Virgin Islands,2156343820.0,304719890.0,0.01,0.0,1985.0,825
2021,Vietnam,344273652800.0,421239671000.0,1.59,1.92,4429.0,4135
2021,Vanuatu,393490440.0,309787740.0,0.0,0.0,2287.0,394
2021, World,21687056369000.0,21971191237000.0,100.0,100.0,4617.0,4643
2021,Wallis and Futura Isl.,51015760.0,774750.0,0.0,0.0,1233.0,145
2021,Samoa,409121710.0,43213540.0,0.0,0.0,2211.0,511
2021,Yemen,12823925480.0,2131776420.0,0.06,0.01,3386.0,875
2021,South Africa,96972757350.0,161203235800.0,0.45,0.73,4422.0,4509
2021,"Congo, Dem. Rep.",9928827020.0,17424610040.0,0.05,0.08,3869.0,1672
2021,Zambia,6268929500.0,8278150500.0,0.03,0.04,3789.0,2401
2021,Zimbabwe,5385692860.0,4573030750.0,0.02,0.02,3814.0,1711
2022,Aruba,1541694930.0,68369120.0,0.01,0.0,2685.0,649
2022,Afghanistan,7483942100.0,1627123450.0,0.03,0.01,2897.0,1594
2022,Angola,14629831870.0,53133765870.0,0.06,0.22,3938.0,1810
2022,Anguila,287283630.0,31882180.0,0.0,0.0,1288.0,451
2022,Albania,7328704930.0,4350216690.0,0.03,0.02,3857.0,2341
2022,Andorra,1856259430.0,124095780.0,0.01,0.0,2960.0,1331
2022,United Arab Emirates,264799490200.0,348553236200.0,1.15,1.43,4468.0,4441
2022,Argentina,69574638390.0,91351744540.0,0.3,0.37,4143.0,3586
2022,Armenia,6434446800.0,3198256030.0,0.03,0.01,3680.0,1791
2022,American Samoa,239628500.0,20024230.0,0.0,0.0,1105.0,830
2022,Antarctica,33209379.999999996,14194020.0,0.0,0.0,581.0,287
2022,Fr. So. Ant. Tr,18747210.0,12484130.0,0.0,0.0,600.0,154
2022,Antigua and Barbuda,1723978550.0,227054450.0,0.01,0.0,2460.0,1230
2022,Australia,280939030400.0,443804643500.0,1.22,1.82,4451.0,4326
2022,Austria,209216070200.0,205386526600.0,0.91,0.84,4516.0,4501
2022,Azerbaijan,10062629820.0,39112969970.0,0.04,0.16,3928.0,1745
2022,Br. Antr. Terr,0.0,7760.0,0.0,0.0,0.0,5
2022,Burundi,783927380.0,118063880.0,0.0,0.0,2612.0,542
